,Compound,Date,Negative,Neutral,NewsOrg,Positive,Text,Tweets Ago
0,0.4019,Tue Apr 10 18:46:07 +0000 2018,0.0,0.876,@CNN,0.124,RT @CNNPolitics: White House press secretary Sarah Sanders says President Trump thinks special counsel Robert Mueller’s probe “has gone too…,1
1,0.0772,Tue Apr 10 18:40:58 +0000 2018,0.0,0.92,@CNN,0.08,"Facebook CEO Mark Zuckerberg is testifying before Congress: https://t.co/GM8O5wobAa

Have questions? We want to hea… https://t.co/yakAlqbwhF",2
2,0.0,Tue Apr 10 18:35:01 +0000 2018,0.0,1.0,@CNN,0.0,"Facebook CEO Mark Zuckerberg has arrived to testify before Congress
Watch on CNN: https://t.co/UYpqI3w42L… https://t.co/BIK7YfQqVV",3
3,0.6249,Tue Apr 10 18:31:02 +0000 2018,0.0,0.814,@CNN,0.186,"Snowfall across the great white continent of Antarctica is increasing, according to a study released this week by a… https://t.co/LQh9rCABoI",4
4,0.6204,Tue Apr 10 18:18:00 +0000 2018,0.0,0.612,@CNN,0.388,Apple is now completely powered by clean energy https://t.co/YEndWOan9Z https://t.co/TmEh8lSGxB,5
5,0.2023,Tue Apr 10 18:10:09 +0000 2018,0.099,0.756,@CNN,0.145,They've marched 7 days across Oklahoma. Now Tulsa teachers are ready to confront lawmakers. https://t.co/68apefSHmJ https://t.co/KR687QGFIT,6
6,0.5574,Tue Apr 10 18:00:14 +0000 2018,0.0,0.841,@CNN,0.159,"""I will do everything I can to make Facebook... a positive force in the world"": Here's the message Facebook CEO Mar… https://t.co/FymihRn1cE",7
7,0.1779,Tue Apr 10 18:00:05 +0000 2018,0.0,0.855,@CNN,0.145,This is Mark Zuckerberg's growing up moment | via @LaurieSegallCNN https://t.co/pPPC8TB63j https://t.co/Js7oLn3o8i,8
8,0.0,Tue Apr 10 17:52:59 +0000 2018,0.0,1.0,@CNN,0.0,".@LaurieSegallCNN is in the room where Facebook CEO Mark Zuckerberg is due to face questions. On the desk, there's… https://t.co/PHxCDdQmcv",9
9,-0.5574,Tue Apr 10 17:50:04 +0000 2018,0.217,0.783,@CNN,0.0,Louisiana is close to lifting its ban on bulletproof backpacks in schools https://t.co/qbW10lyCjA https://t.co/WefWWm3Ii8,10
10,0.0,Tue Apr 10 17:48:52 +0000 2018,0.0,1.0,@CNN,0.0,"Facebook CEO Mark Zuckerberg will soon begin testifying before Congress: https://t.co/0OlGWpNRMF

Have questions? W… https://t.co/MvYGjZo6di",11
11,0.0,Tue Apr 10 17:44:46 +0000 2018,0.0,1.0,@CNN,0.0,The FBI raid on Trump's personal attorney sought records on the deal set up between an ex-Playboy Playmate who has… https://t.co/y3A5nG2BB8,12
12,0.0,Tue Apr 10 17:40:10 +0000 2018,0.0,1.0,@CNN,0.0,"An EPA official is expected to meet this week with congressional investigators to discuss his concerns, which inclu… https://t.co/X0DllTm9Ur",13
13,0.4767,Tue Apr 10 17:30:09 +0000 2018,0.0,0.86,@CNN,0.14,Facebook's press page was once filled with announcements about new features to order food and connect to friends in… https://t.co/GkGoBR92vS,14
14,-0.1027,Tue Apr 10 17:20:11 +0000 2018,0.08,0.92,@CNN,0.0,The gender pay gap isn't just about what you make. It's about what you do. https://t.co/PXIJRooiwF https://t.co/kkGGUKto6m,15
15,0.2263,Tue Apr 10 17:19:03 +0000 2018,0.052,0.861,@CNN,0.086,"RT @CNNMoney: Almost 10 years after President Obama signed the Lilly Ledbetter Fair Pay Act of 2009, women still make less than men. We spo…",16
16,0.0,Tue Apr 10 17:10:12 +0000 2018,0.0,1.0,@CNN,0.0,Facebook CEO Mark Zuckerberg will soon testify before Congress. Here's everything you need to know before you watch… https://t.co/JEe0X8ZxLs,17
17,0.0,Tue Apr 10 17:03:05 +0000 2018,0.0,1.0,@CNN,0.0,Tom Bossert's exit means half of Donald Trump's 'A Team' has left since he became President | Analysis by… https://t.co/o7cO9UxrAd,18
18,0.0,Tue Apr 10 16:54:46 +0000 2018,0.0,1.0,@CNN,0.0,A judge has finalized a $25 million settlement for students who claim they were defrauded by Trump University… https://t.co/VLYCc6LmHP,19
19,0.8225,Tue Apr 10 16:42:55 +0000 2018,0.0,0.65,@CNN,0.35,"Facebook knows you better than you think:

• With 10 likes, a computer model fundamentally knows you better than a… https://t.co/43EaVEBa3y",20
20,-0.296,Tue Apr 10 16:30:09 +0000 2018,0.145,0.855,@CNN,0.0,How Trump can pile pressure on Putin and Assad | @NicRobertsonCNN for @CNNopinion https://t.co/TlSbLQGAmC https://t.co/J7YfAKhsig,21
21,0.34,Tue Apr 10 16:20:11 +0000 2018,0.0,0.893,@CNN,0.107,Two Democratic senators say they have evidence that shows the EPA may be overstating the need for 24-7 security and… https://t.co/FvJRaFFayw,22
22,0.34,Tue Apr 10 16:10:31 +0000 2018,0.0,0.897,@CNN,0.103,"RT @CNNPolitics: Update: Tom Bossert was pushed out of his position by the newly installed national security adviser John Bolton, two sourc…",23
23,-0.1531,Tue Apr 10 16:10:07 +0000 2018,0.176,0.682,@CNN,0.142,The FBI just proved President Trump wrong on attorney-client privilege | Analysis by @CillizzaCNN… https://t.co/4PCnG0ZE2a,24
24,0.0258,Tue Apr 10 16:00:21 +0000 2018,0.0,0.95,@CNN,0.05,"For at least a year, the biggest page on Facebook purporting to be part of the Black Lives Matter movement was a sc… https://t.co/J6yXOL4Rxw",25
25,0.4019,Tue Apr 10 18:46:07 +0000 2018,0.0,0.876,@CNN,0.124,RT @CNNPolitics: White House press secretary Sarah Sanders says President Trump thinks special counsel Robert Mueller’s probe “has gone too…,26
26,0.0772,Tue Apr 10 18:40:58 +0000 2018,0.0,0.92,@CNN,0.08,"Facebook CEO Mark Zuckerberg is testifying before Congress: https://t.co/GM8O5wobAa

Have questions? We want to hea… https://t.co/yakAlqbwhF",27
27,0.0,Tue Apr 10 18:35:01 +0000 2018,0.0,1.0,@CNN,0.0,"Facebook CEO Mark Zuckerberg has arrived to testify before Congress
Watch on CNN: https://t.co/UYpqI3w42L… https://t.co/BIK7YfQqVV",28
28,0.6249,Tue Apr 10 18:31:02 +0000 2018,0.0,0.814,@CNN,0.186,"Snowfall across the great white continent of Antarctica is increasing, according to a study released this week by a… https://t.co/LQh9rCABoI",29
29,0.6204,Tue Apr 10 18:18:00 +0000 2018,0.0,0.612,@CNN,0.388,Apple is now completely powered by clean energy https://t.co/YEndWOan9Z https://t.co/TmEh8lSGxB,30
30,0.2023,Tue Apr 10 18:10:09 +0000 2018,0.099,0.756,@CNN,0.145,They've marched 7 days across Oklahoma. Now Tulsa teachers are ready to confront lawmakers. https://t.co/68apefSHmJ https://t.co/KR687QGFIT,31
31,0.5574,Tue Apr 10 18:00:14 +0000 2018,0.0,0.841,@CNN,0.159,"""I will do everything I can to make Facebook... a positive force in the world"": Here's the message Facebook CEO Mar… https://t.co/FymihRn1cE",32
32,0.1779,Tue Apr 10 18:00:05 +0000 2018,0.0,0.855,@CNN,0.145,This is Mark Zuckerberg's growing up moment | via @LaurieSegallCNN https://t.co/pPPC8TB63j https://t.co/Js7oLn3o8i,33
33,0.0,Tue Apr 10 17:52:59 +0000 2018,0.0,1.0,@CNN,0.0,".@LaurieSegallCNN is in the room where Facebook CEO Mark Zuckerberg is due to face questions. On the desk, there's… https://t.co/PHxCDdQmcv",34
34,-0.5574,Tue Apr 10 17:50:04 +0000 2018,0.217,0.783,@CNN,0.0,Louisiana is close to lifting its ban on bulletproof backpacks in schools https://t.co/qbW10lyCjA https://t.co/WefWWm3Ii8,35
35,0.0,Tue Apr 10 17:48:52 +0000 2018,0.0,1.0,@CNN,0.0,"Facebook CEO Mark Zuckerberg will soon begin testifying before Congress: https://t.co/0OlGWpNRMF

Have questions? W… https://t.co/MvYGjZo6di",36
36,0.0,Tue Apr 10 17:44:46 +0000 2018,0.0,1.0,@CNN,0.0,The FBI raid on Trump's personal attorney sought records on the deal set up between an ex-Playboy Playmate who has… https://t.co/y3A5nG2BB8,37
37,0.0,Tue Apr 10 17:40:10 +0000 2018,0.0,1.0,@CNN,0.0,"An EPA official is expected to meet this week with congressional investigators to discuss his concerns, which inclu… https://t.co/X0DllTm9Ur",38
38,0.4767,Tue Apr 10 17:30:09 +0000 2018,0.0,0.86,@CNN,0.14,Facebook's press page was once filled with announcements about new features to order food and connect to friends in… https://t.co/GkGoBR92vS,39
39,-0.1027,Tue Apr 10 17:20:11 +0000 2018,0.08,0.92,@CNN,0.0,The gender pay gap isn't just about what you make. It's about what you do. https://t.co/PXIJRooiwF https://t.co/kkGGUKto6m,40
40,0.2263,Tue Apr 10 17:19:03 +0000 2018,0.052,0.861,@CNN,0.086,"RT @CNNMoney: Almost 10 years after President Obama signed the Lilly Ledbetter Fair Pay Act of 2009, women still make less than men. We spo…",41
41,0.0,Tue Apr 10 17:10:12 +0000 2018,0.0,1.0,@CNN,0.0,Facebook CEO Mark Zuckerberg will soon testify before Congress. Here's everything you need to know before you watch… https://t.co/JEe0X8ZxLs,42
42,0.0,Tue Apr 10 17:03:05 +0000 2018,0.0,1.0,@CNN,0.0,Tom Bossert's exit means half of Donald Trump's 'A Team' has left since he became President | Analysis by… https://t.co/o7cO9UxrAd,43
43,0.0,Tue Apr 10 16:54:46 +0000 2018,0.0,1.0,@CNN,0.0,A judge has finalized a $25 million settlement for students who claim they were defrauded by Trump University… https://t.co/VLYCc6LmHP,44
44,0.8225,Tue Apr 10 16:42:55 +0000 2018,0.0,0.65,@CNN,0.35,"Facebook knows you better than you think:

• With 10 likes, a computer model fundamentally knows you better than a… https://t.co/43EaVEBa3y",45
45,-0.296,Tue Apr 10 16:30:09 +0000 2018,0.145,0.855,@CNN,0.0,How Trump can pile pressure on Putin and Assad | @NicRobertsonCNN for @CNNopinion https://t.co/TlSbLQGAmC https://t.co/J7YfAKhsig,46
46,0.34,Tue Apr 10 16:20:11 +0000 2018,0.0,0.893,@CNN,0.107,Two Democratic senators say they have evidence that shows the EPA may be overstating the need for 24-7 security and… https://t.co/FvJRaFFayw,47
47,0.34,Tue Apr 10 16:10:31 +0000 2018,0.0,0.897,@CNN,0.103,"RT @CNNPolitics: Update: Tom Bossert was pushed out of his position by the newly installed national security adviser John Bolton, two sourc…",48
48,-0.1531,Tue Apr 10 16:10:07 +0000 2018,0.176,0.682,@CNN,0.142,The FBI just proved President Trump wrong on attorney-client privilege | Analysis by @CillizzaCNN… https://t.co/4PCnG0ZE2a,49
49,0.0258,Tue Apr 10 16:00:21 +0000 2018,0.0,0.95,@CNN,0.05,"For at least a year, the biggest page on Facebook purporting to be part of the Black Lives Matter movement was a sc… https://t.co/J6yXOL4Rxw",50
50,-0.8225,Tue Apr 10 15:50:10 +0000 2018,0.297,0.703,@CNN,0.0,"As Trump assesses how to respond to the alleged chemical attack in Syria that killed dozens of civilians, lawmakers… https://t.co/HQqThDjWK3",51
51,0.0,Tue Apr 10 15:40:10 +0000 2018,0.0,1.0,@CNN,0.0,Facebook CEO Mark Zuckerberg will testify before Congress on Tuesday and Wednesday. Here's everything you need to k… https://t.co/xopMwq9fTn,52
52,-0.4215,Tue Apr 10 15:30:07 +0000 2018,0.189,0.702,@CNN,0.11,"President Trump declares that ""attorney-client privilege is dead"" a day after the FBI raided the office of Michael… https://t.co/fXKgFngNfS",53
53,-0.5574,Tue Apr 10 15:20:00 +0000 2018,0.141,0.859,@CNN,0.0,"More than 4,000 black men, women, and children died at the hands of white mobs between 1877 and 1950. Can you name… https://t.co/oHaWCcvQaF",54
54,-0.3947,Tue Apr 10 15:10:08 +0000 2018,0.123,0.877,@CNN,0.0,President Trump has never been more likely to fire Robert Mueller than he is right now | Analysis by @CillizzaCNN… https://t.co/MGKwcRLUqz,55
55,-0.7184,Tue Apr 10 15:00:06 +0000 2018,0.318,0.682,@CNN,0.0,"There was no working smoke alarm in the Trump Tower apartment where deadly fire started, source says… https://t.co/HF1bX2vzdq",56
56,0.0,Tue Apr 10 14:53:07 +0000 2018,0.0,1.0,@CNN,0.0,These two women left their own wedding receptions early to take final exams https://t.co/JrFgj2Mk76 https://t.co/4ryWNkAslV,57
57,0.128,Tue Apr 10 14:41:17 +0000 2018,0.117,0.736,@CNN,0.147,"BREAKING: Homeland security adviser Tom Bossert is resigning, the White House confirms https://t.co/grLxIQLsTy https://t.co/9clbDUxYzP",58
58,0.0,Tue Apr 10 14:33:41 +0000 2018,0.0,1.0,@CNN,0.0,"Longtime Trump associate Roger Stone said in July 2016 that Russians were ""most likely"" behind WikiLeaks emails and… https://t.co/Inc7WVXIDa",59
59,-0.34,Tue Apr 10 14:20:04 +0000 2018,0.13,0.87,@CNN,0.0,This 20-year-old wants to interview every WWII combat veteran he can before it's too late https://t.co/3zt0h2ijMs https://t.co/2u17akhqEq,60
60,0.0,Tue Apr 10 14:10:05 +0000 2018,0.0,1.0,@CNN,0.0,"President Trump and former President Obama will not attend the wedding of Prince Harry and Meghan Markle, White Hou… https://t.co/oM3usyN6qH",61
61,-0.25,Tue Apr 10 14:00:07 +0000 2018,0.143,0.857,@CNN,0.0,"More than 1,100 flights have been canceled in Germany after airport workers went on strike to demand higher pay… https://t.co/J1UmMoB6Ci",62
62,0.1027,Tue Apr 10 13:50:07 +0000 2018,0.0,0.928,@CNN,0.072,"While preparing for his new role, Secretary of State-designate Mike Pompeo reached out to every living former secre… https://t.co/uFSdknC2hf",63
63,0.0,Tue Apr 10 13:33:02 +0000 2018,0.0,1.0,@CNN,0.0,"Facebook CEO Mark Zuckerberg will begin testifying before Congress today: https://t.co/MPwDOQjjw3

Have questions?… https://t.co/XRV4ySq4Jb",64
64,0.0258,Tue Apr 10 13:30:11 +0000 2018,0.0,0.95,@CNN,0.05,"For at least a year, the biggest page on Facebook purporting to be part of the Black Lives Matter movement was a sc… https://t.co/Qs6lfxRI8l",65
65,0.0,Tue Apr 10 13:20:09 +0000 2018,0.0,1.0,@CNN,0.0,"President Trump is canceling a planned trip to South America that was set to begin Friday, to monitor the American… https://t.co/C2Aox4VZwC",66
66,0.8225,Tue Apr 10 13:20:04 +0000 2018,0.0,0.65,@CNN,0.35,"Facebook knows you better than you think:

• With 10 likes, a computer model fundamentally knows you better than a… https://t.co/OwoPbOQx9R",67
